date,predicted_cases
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,1.2695392073282332
2020-02-11,17.996231676692567
2020-02-12,34.07814057628904
2020-02-13,36.2029941094905
2020-02-14,35.877179492636415
2020-02-15,37.950611545339605
2020-02-16,41.03203091781685
2020-02-17,44.14473661279628
2020-02-18,47.38428102554068
2020-02-19,50.942136127236
2020-02-20,54.78417960774467
2020-02-21,58.9175882026391
2020-02-22,63.42111206496428
2020-02-23,68.15136026500963
2020-02-24,73.13261530484016
2020-02-25,78.52895791705868
2020-02-26,84.03664659845012
2020-02-27,89.65119976128429
2020-02-28,95.6579338144826
2020-02-29,101.74312526296907
2020-03-01,107.8833086642419
2020-03-02,114.38461409732118
2020-03-03,121.10877391974904
2020-03-04,128.05416373697074
2020-03-05,135.4165739151403
2020-03-06,143.1068725318612
2020-03-07,151.1296186997104
2020-03-08,159.60456779835417
2020-03-09,168.2017044613081
2020-03-10,176.92437795090956
2020-03-11,186.03964210140163
2020-03-12,194.77384601744444
2020-03-13,203.096912801928
2020-03-14,211.63736809990178
2020-03-15,219.3915501282865
2020-03-16,226.28746128141088
2020-03-17,233.2560635569333
2020-03-18,239.93567788578702
2020-03-19,246.23725168795545
2020-03-20,252.61663870125972
2020-03-21,258.88311473210285
2020-03-22,264.9991138278976
2020-03-23,271.24057906568
2020-03-24,277.84408012487006
2020-03-25,284.7856201573089
2020-03-26,291.8530419980981
2020-03-27,298.2988378919172
2020-03-28,304.1519965335534
2020-03-29,310.0652102515279
2020-03-30,316.3224986414347
2020-03-31,322.8652987894426
2020-04-01,329.5431536361228
2020-04-02,336.1731425562089
2020-04-03,342.7764997184705
2020-04-04,349.4788778928531
2020-04-05,355.9787718551665
2020-04-06,362.2716054665355
2020-04-07,368.6443122982376
2020-04-08,375.0508953009214
2020-04-09,381.4696375217561
2020-04-10,388.01859587027656
2020-04-11,394.98139633562926
2020-04-12,402.34272004867717
2020-04-13,409.8525413279711
2020-04-14,417.24119831293604
2020-04-15,424.53819530301405
2020-04-16,431.9617992638434
2020-04-17,439.698783382271
2020-04-18,447.730137290191
