,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-04-19T00:00:00.000000000],1.134,0.057,1.101,1.222,0.018,0.015,11.0,13.0,1.17
r_t[2020-04-20T00:00:00.000000000],1.134,0.057,1.101,1.222,0.018,0.015,11.0,13.0,1.17
r_t[2020-04-21T00:00:00.000000000],1.118,0.073,1.051,1.206,0.029,0.014,6.0,13.0,1.42
r_t[2020-04-22T00:00:00.000000000],1.118,0.073,1.051,1.206,0.029,0.014,6.0,13.0,1.42
r_t[2020-04-23T00:00:00.000000000],1.118,0.073,1.051,1.206,0.029,0.014,6.0,13.0,1.42
r_t[2020-04-24T00:00:00.000000000],1.099,0.07,1.018,1.184,0.028,0.007,7.0,16.0,1.37
r_t[2020-04-25T00:00:00.000000000],1.099,0.07,1.018,1.184,0.028,0.007,7.0,16.0,1.37
r_t[2020-04-26T00:00:00.000000000],1.099,0.07,1.018,1.184,0.028,0.007,7.0,16.0,1.37
r_t[2020-04-27T00:00:00.000000000],1.085,0.066,1.007,1.164,0.03,0.007,6.0,18.0,1.54
r_t[2020-04-28T00:00:00.000000000],1.085,0.066,1.007,1.164,0.03,0.007,6.0,18.0,1.54
r_t[2020-04-29T00:00:00.000000000],1.085,0.066,1.007,1.164,0.03,0.007,6.0,18.0,1.54
r_t[2020-04-30T00:00:00.000000000],1.081,0.068,0.997,1.167,0.03,0.012,6.0,18.0,2.04
r_t[2020-05-01T00:00:00.000000000],1.081,0.068,0.997,1.167,0.03,0.012,6.0,18.0,2.04
r_t[2020-05-02T00:00:00.000000000],1.081,0.068,0.997,1.167,0.03,0.012,6.0,18.0,2.04
r_t[2020-05-03T00:00:00.000000000],1.081,0.06,1.012,1.162,0.024,0.011,7.0,13.0,1.75
r_t[2020-05-04T00:00:00.000000000],1.081,0.06,1.012,1.162,0.024,0.011,7.0,13.0,1.75
r_t[2020-05-05T00:00:00.000000000],1.081,0.06,1.012,1.162,0.024,0.011,7.0,13.0,1.75
r_t[2020-05-06T00:00:00.000000000],1.08,0.057,1.028,1.167,0.021,0.01,8.0,13.0,1.33
r_t[2020-05-07T00:00:00.000000000],1.08,0.057,1.028,1.167,0.021,0.01,8.0,13.0,1.33
r_t[2020-05-08T00:00:00.000000000],1.08,0.057,1.028,1.167,0.021,0.01,8.0,13.0,1.33
r_t[2020-05-09T00:00:00.000000000],1.066,0.058,1.02,1.144,0.024,0.008,8.0,13.0,1.36
r_t[2020-05-10T00:00:00.000000000],1.066,0.058,1.02,1.144,0.024,0.008,8.0,13.0,1.36
r_t[2020-05-11T00:00:00.000000000],1.066,0.058,1.02,1.144,0.024,0.008,8.0,13.0,1.36
r_t[2020-05-12T00:00:00.000000000],1.06,0.048,1.004,1.122,0.022,0.005,5.0,16.0,1.62
r_t[2020-05-13T00:00:00.000000000],1.06,0.048,1.004,1.122,0.022,0.005,5.0,16.0,1.62
r_t[2020-05-14T00:00:00.000000000],1.06,0.048,1.004,1.122,0.022,0.005,5.0,16.0,1.62
r_t[2020-05-15T00:00:00.000000000],1.059,0.046,1.014,1.121,0.022,0.003,6.0,13.0,1.55
r_t[2020-05-16T00:00:00.000000000],1.059,0.046,1.014,1.121,0.022,0.003,6.0,13.0,1.55
r_t[2020-05-17T00:00:00.000000000],1.059,0.046,1.014,1.121,0.022,0.003,6.0,13.0,1.55
r_t[2020-05-18T00:00:00.000000000],1.05,0.05,0.993,1.115,0.019,0.008,8.0,18.0,1.63
r_t[2020-05-19T00:00:00.000000000],1.05,0.05,0.993,1.115,0.019,0.008,8.0,18.0,1.63
r_t[2020-05-20T00:00:00.000000000],1.05,0.05,0.993,1.115,0.019,0.008,8.0,18.0,1.63
r_t[2020-05-21T00:00:00.000000000],1.057,0.051,1.014,1.136,0.019,0.009,11.0,14.0,1.75
r_t[2020-05-22T00:00:00.000000000],1.057,0.051,1.014,1.136,0.019,0.009,11.0,14.0,1.75
r_t[2020-05-23T00:00:00.000000000],1.057,0.051,1.014,1.136,0.019,0.009,11.0,14.0,1.75
r_t[2020-05-24T00:00:00.000000000],1.055,0.06,0.99,1.133,0.026,0.007,7.0,14.0,1.39
r_t[2020-05-25T00:00:00.000000000],1.055,0.06,0.99,1.133,0.026,0.007,7.0,14.0,1.39
r_t[2020-05-26T00:00:00.000000000],1.055,0.06,0.99,1.133,0.026,0.007,7.0,14.0,1.39
r_t[2020-05-27T00:00:00.000000000],1.042,0.054,0.987,1.112,0.024,0.008,5.0,13.0,1.63
r_t[2020-05-28T00:00:00.000000000],1.042,0.054,0.987,1.112,0.024,0.008,5.0,13.0,1.63
