,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-10-21T00:00:00.000000000],1.005,0.022,0.984,1.035,0.006,0.003,15.0,13.0,1.09
r_t[2020-10-22T00:00:00.000000000],1.005,0.022,0.984,1.035,0.006,0.003,15.0,13.0,1.09
r_t[2020-10-23T00:00:00.000000000],1.005,0.022,0.984,1.035,0.006,0.003,15.0,13.0,1.09
r_t[2020-10-24T00:00:00.000000000],1.002,0.03,0.976,1.05,0.012,0.004,7.0,13.0,1.4
r_t[2020-10-25T00:00:00.000000000],1.002,0.03,0.976,1.05,0.012,0.004,7.0,13.0,1.4
r_t[2020-10-26T00:00:00.000000000],1.002,0.03,0.976,1.05,0.012,0.004,7.0,13.0,1.4
r_t[2020-10-27T00:00:00.000000000],0.993,0.024,0.974,1.027,0.006,0.004,18.0,13.0,1.06
r_t[2020-10-28T00:00:00.000000000],0.993,0.024,0.974,1.027,0.006,0.004,18.0,13.0,1.06
r_t[2020-10-29T00:00:00.000000000],0.993,0.024,0.974,1.027,0.006,0.004,18.0,13.0,1.06
r_t[2020-10-30T00:00:00.000000000],0.997,0.027,0.962,1.028,0.01,0.002,6.0,18.0,1.54
r_t[2020-10-31T00:00:00.000000000],0.997,0.027,0.962,1.028,0.01,0.002,6.0,18.0,1.54
r_t[2020-11-01T00:00:00.000000000],0.997,0.027,0.962,1.028,0.01,0.002,6.0,18.0,1.54
r_t[2020-11-02T00:00:00.000000000],0.998,0.021,0.983,1.031,0.005,0.006,18.0,40.0,1.06
r_t[2020-11-03T00:00:00.000000000],0.998,0.021,0.983,1.031,0.005,0.006,18.0,40.0,1.06
r_t[2020-11-04T00:00:00.000000000],0.998,0.021,0.983,1.031,0.005,0.006,18.0,40.0,1.06
r_t[2020-11-05T00:00:00.000000000],1.01,0.025,0.994,1.046,0.009,0.006,6.0,17.0,1.44
r_t[2020-11-06T00:00:00.000000000],1.01,0.025,0.994,1.046,0.009,0.006,6.0,17.0,1.44
r_t[2020-11-07T00:00:00.000000000],1.01,0.025,0.994,1.046,0.009,0.006,6.0,17.0,1.44
r_t[2020-11-08T00:00:00.000000000],1.008,0.023,0.981,1.033,0.004,0.004,40.0,13.0,1.01
r_t[2020-11-09T00:00:00.000000000],1.008,0.023,0.981,1.033,0.004,0.004,40.0,13.0,1.01
r_t[2020-11-10T00:00:00.000000000],1.008,0.023,0.981,1.033,0.004,0.004,40.0,13.0,1.01
r_t[2020-11-11T00:00:00.000000000],1.007,0.026,0.977,1.032,0.01,0.005,7.0,13.0,1.36
r_t[2020-11-12T00:00:00.000000000],1.007,0.026,0.977,1.032,0.01,0.005,7.0,13.0,1.36
r_t[2020-11-13T00:00:00.000000000],1.007,0.026,0.977,1.032,0.01,0.005,7.0,13.0,1.36
r_t[2020-11-14T00:00:00.000000000],1.002,0.021,0.981,1.035,0.01,0.004,5.0,17.0,1.72
r_t[2020-11-15T00:00:00.000000000],1.002,0.021,0.981,1.035,0.01,0.004,5.0,17.0,1.72
r_t[2020-11-16T00:00:00.000000000],1.002,0.021,0.981,1.035,0.01,0.004,5.0,17.0,1.72
r_t[2020-11-17T00:00:00.000000000],1.014,0.022,0.987,1.042,0.007,0.002,10.0,17.0,1.22
r_t[2020-11-18T00:00:00.000000000],1.014,0.022,0.987,1.042,0.007,0.002,10.0,17.0,1.22
r_t[2020-11-19T00:00:00.000000000],1.014,0.022,0.987,1.042,0.007,0.002,10.0,17.0,1.22
r_t[2020-11-20T00:00:00.000000000],1.005,0.023,0.98,1.03,0.007,0.004,9.0,17.0,1.26
r_t[2020-11-21T00:00:00.000000000],1.005,0.023,0.98,1.03,0.007,0.004,9.0,17.0,1.26
r_t[2020-11-22T00:00:00.000000000],1.005,0.023,0.98,1.03,0.007,0.004,9.0,17.0,1.26
r_t[2020-11-23T00:00:00.000000000],1.003,0.03,0.969,1.049,0.01,0.005,9.0,29.0,1.25
r_t[2020-11-24T00:00:00.000000000],1.003,0.03,0.969,1.049,0.01,0.005,9.0,29.0,1.25
r_t[2020-11-25T00:00:00.000000000],1.003,0.03,0.969,1.049,0.01,0.005,9.0,29.0,1.25
r_t[2020-11-26T00:00:00.000000000],1.003,0.021,0.979,1.021,0.004,0.003,41.0,18.0,1.05
r_t[2020-11-27T00:00:00.000000000],1.003,0.021,0.979,1.021,0.004,0.003,41.0,18.0,1.05
r_t[2020-11-28T00:00:00.000000000],1.003,0.021,0.979,1.021,0.004,0.003,41.0,18.0,1.05
r_t[2020-11-29T00:00:00.000000000],0.995,0.029,0.97,1.035,0.011,0.004,7.0,16.0,1.35
r_t[2020-11-30T00:00:00.000000000],0.995,0.029,0.97,1.035,0.011,0.004,7.0,16.0,1.35
r_t[2020-12-01T00:00:00.000000000],0.995,0.029,0.97,1.035,0.011,0.004,7.0,16.0,1.35
r_t[2020-12-02T00:00:00.000000000],0.987,0.044,0.927,1.028,0.02,0.011,5.0,13.0,2.01
r_t[2020-12-03T00:00:00.000000000],0.987,0.044,0.927,1.028,0.02,0.011,5.0,13.0,2.01
r_t[2020-12-04T00:00:00.000000000],0.987,0.044,0.927,1.028,0.02,0.011,5.0,13.0,2.01
r_t[2020-12-05T00:00:00.000000000],0.982,0.034,0.928,1.009,0.015,0.005,6.0,14.0,1.53
r_t[2020-12-06T00:00:00.000000000],0.982,0.034,0.928,1.009,0.015,0.005,6.0,14.0,1.53
r_t[2020-12-07T00:00:00.000000000],0.982,0.034,0.928,1.009,0.015,0.005,6.0,14.0,1.53
r_t[2020-12-08T00:00:00.000000000],0.985,0.027,0.959,1.027,0.007,0.002,17.0,23.0,1.07
r_t[2020-12-09T00:00:00.000000000],0.985,0.027,0.959,1.027,0.007,0.002,17.0,23.0,1.07
r_t[2020-12-10T00:00:00.000000000],0.985,0.027,0.959,1.027,0.007,0.002,17.0,23.0,1.07
r_t[2020-12-11T00:00:00.000000000],0.983,0.021,0.962,1.008,0.005,0.004,15.0,29.0,1.13
r_t[2020-12-12T00:00:00.000000000],0.983,0.021,0.962,1.008,0.005,0.004,15.0,29.0,1.13
r_t[2020-12-13T00:00:00.000000000],0.983,0.021,0.962,1.008,0.005,0.004,15.0,29.0,1.13
r_t[2020-12-14T00:00:00.000000000],0.972,0.029,0.941,1.016,0.01,0.005,10.0,40.0,1.23
