date,predicted_cases
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,2.7279201603829164
2020-03-02,38.67997233679521
2020-03-03,73.5259422030189
2020-03-04,80.39338244378197
2020-03-05,84.28623811938999
2020-03-06,94.34587578006567
2020-03-07,107.14021335016598
2020-03-08,121.46420628496051
2020-03-09,138.00309369547642
2020-03-10,157.01536097445833
2020-03-11,179.02449555179663
2020-03-12,204.46990200524868
2020-03-13,233.63833911542469
2020-03-14,266.8017060420402
2020-03-15,304.61820183484883
2020-03-16,347.94445691038436
2020-03-17,396.5370311448342
2020-03-18,451.1706478039761
2020-03-19,513.3947402357959
2020-03-20,581.5498319189381
2020-03-21,656.4390824544954
2020-03-22,740.9134014750574
2020-03-23,831.3025295013989
2020-03-24,928.2154225125328
2020-03-25,1036.1883574633644
2020-03-26,1149.2279102255686
2020-03-27,1267.517386642834
2020-03-28,1397.2889421933817
2020-03-29,1529.1017408994373
2020-03-30,1662.5990814362515
2020-03-31,1807.060451565949
2020-04-01,1956.748313626456
2020-04-02,2111.0874407966407
2020-04-03,2276.697329307305
2020-04-04,2446.7802279829166
2020-04-05,2621.1487676624956
2020-04-06,2806.7961190885085
2020-04-07,2993.2514130229088
2020-04-08,3180.0822873026136
2020-04-09,3377.0440917778824
2020-04-10,3572.273657835803
2020-04-11,3764.8744796119663
2020-04-12,3965.8875155744495
2020-04-13,4162.531521988508
2020-04-14,4353.674268934831
2020-04-15,4551.3445736692165
2020-04-16,4744.013706708285
2020-04-17,4930.522415320545
2020-04-18,5122.245581264627
2020-04-19,5310.240607717165
2020-04-20,5493.503441552267
2020-04-21,5680.423192519894
2020-04-22,5853.046849189965
2020-04-23,6010.684062678727
2020-04-24,6168.6108741718745
2020-04-25,6303.649231179091
2020-04-26,6414.612325479165
2020-04-27,6523.451859536499
2020-04-28,6616.542869570001
2020-04-29,6692.400901462545
2020-04-30,6766.870559254574
2020-05-01,6834.456854366397
2020-05-02,6893.95371438123
2020-05-03,6952.933048659838
2020-05-04,7007.543009842078
2020-05-05,7057.2275138773175
2020-05-06,7106.626638573841
2020-05-07,7152.260841064991
2020-05-08,7193.918903627121
2020-05-09,7236.240123878602
2020-05-10,7285.227953526928
2020-05-11,7340.333926426164
2020-05-12,7397.192077564981
2020-05-13,7457.74269578993
2020-05-14,7522.21864582153
2020-05-15,7587.706294618028
2020-05-16,7649.249126546045
2020-05-17,7707.17168797794
2020-05-18,7765.059365750713
2020-05-19,7818.852170179585
2020-05-20,7868.284051263607
2020-05-21,7917.738636290209
2020-05-22,7968.995884356006
2020-05-23,8021.664602461556
2020-05-24,8074.396622385647
2020-05-25,8119.6768320907095
2020-05-26,8157.791048796461
2020-05-27,8195.690524785114
2020-05-28,8237.656119178442
2020-05-29,8283.047704972845
