,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-10-01T00:00:00.000000000],1.027,0.007,1.013,1.031,0.003,0.001,7.0,22.0,1.67
r_t[2020-10-02T00:00:00.000000000],1.027,0.007,1.013,1.031,0.003,0.001,7.0,22.0,1.67
r_t[2020-10-03T00:00:00.000000000],1.027,0.007,1.013,1.031,0.003,0.001,7.0,22.0,1.67
r_t[2020-10-04T00:00:00.000000000],1.019,0.008,1.011,1.028,0.003,0.002,7.0,22.0,1.4
r_t[2020-10-05T00:00:00.000000000],1.019,0.008,1.011,1.028,0.003,0.002,7.0,22.0,1.4
r_t[2020-10-06T00:00:00.000000000],1.019,0.008,1.011,1.028,0.003,0.002,7.0,22.0,1.4
r_t[2020-10-07T00:00:00.000000000],1.008,0.009,0.998,1.017,0.004,0.002,6.0,26.0,2.32
r_t[2020-10-08T00:00:00.000000000],1.008,0.009,0.998,1.017,0.004,0.002,6.0,26.0,2.32
r_t[2020-10-09T00:00:00.000000000],1.008,0.009,0.998,1.017,0.004,0.002,6.0,26.0,2.32
r_t[2020-10-10T00:00:00.000000000],0.999,0.011,0.993,1.005,0.004,0.004,7.0,22.0,1.55
r_t[2020-10-11T00:00:00.000000000],0.999,0.011,0.993,1.005,0.004,0.004,7.0,22.0,1.55
r_t[2020-10-12T00:00:00.000000000],0.999,0.011,0.993,1.005,0.004,0.004,7.0,22.0,1.55
r_t[2020-10-13T00:00:00.000000000],1.01,0.012,1.0,1.029,0.005,0.003,7.0,22.0,1.6
r_t[2020-10-14T00:00:00.000000000],1.01,0.012,1.0,1.029,0.005,0.003,7.0,22.0,1.6
r_t[2020-10-15T00:00:00.000000000],1.01,0.012,1.0,1.029,0.005,0.003,7.0,22.0,1.6
r_t[2020-10-16T00:00:00.000000000],1.003,0.005,0.998,1.009,0.001,0.001,15.0,22.0,1.06
r_t[2020-10-17T00:00:00.000000000],1.003,0.005,0.998,1.009,0.001,0.001,15.0,22.0,1.06
r_t[2020-10-18T00:00:00.000000000],1.003,0.005,0.998,1.009,0.001,0.001,15.0,22.0,1.06
r_t[2020-10-19T00:00:00.000000000],1.011,0.015,1.001,1.027,0.005,0.003,8.0,22.0,1.54
r_t[2020-10-20T00:00:00.000000000],1.011,0.015,1.001,1.027,0.005,0.003,8.0,22.0,1.54
r_t[2020-10-21T00:00:00.000000000],1.011,0.015,1.001,1.027,0.005,0.003,8.0,22.0,1.54
r_t[2020-10-22T00:00:00.000000000],1.002,0.006,0.997,1.008,0.001,0.002,16.0,22.0,1.03
r_t[2020-10-23T00:00:00.000000000],1.002,0.006,0.997,1.008,0.001,0.002,16.0,22.0,1.03
r_t[2020-10-24T00:00:00.000000000],1.002,0.006,0.997,1.008,0.001,0.002,16.0,22.0,1.03
r_t[2020-10-25T00:00:00.000000000],0.995,0.008,0.986,1.006,0.003,0.001,7.0,22.0,1.54
r_t[2020-10-26T00:00:00.000000000],0.995,0.008,0.986,1.006,0.003,0.001,7.0,22.0,1.54
r_t[2020-10-27T00:00:00.000000000],0.995,0.008,0.986,1.006,0.003,0.001,7.0,22.0,1.54
r_t[2020-10-28T00:00:00.000000000],1.0,0.009,0.992,1.006,0.002,0.002,23.0,22.0,1.37
r_t[2020-10-29T00:00:00.000000000],1.0,0.009,0.992,1.006,0.002,0.002,23.0,22.0,1.37
r_t[2020-10-30T00:00:00.000000000],1.0,0.009,0.992,1.006,0.002,0.002,23.0,22.0,1.37
r_t[2020-10-31T00:00:00.000000000],0.999,0.007,0.99,1.007,0.003,0.001,6.0,22.0,2.57
r_t[2020-11-01T00:00:00.000000000],0.999,0.007,0.99,1.007,0.003,0.001,6.0,22.0,2.57
r_t[2020-11-02T00:00:00.000000000],0.999,0.007,0.99,1.007,0.003,0.001,6.0,22.0,2.57
r_t[2020-11-03T00:00:00.000000000],1.003,0.004,0.997,1.008,0.002,0.001,7.0,22.0,1.66
r_t[2020-11-04T00:00:00.000000000],1.003,0.004,0.997,1.008,0.002,0.001,7.0,22.0,1.66
r_t[2020-11-05T00:00:00.000000000],1.003,0.004,0.997,1.008,0.002,0.001,7.0,22.0,1.66
r_t[2020-11-06T00:00:00.000000000],1.005,0.015,0.994,1.009,0.004,0.005,8.0,22.0,1.38
r_t[2020-11-07T00:00:00.000000000],1.005,0.015,0.994,1.009,0.004,0.005,8.0,22.0,1.38
r_t[2020-11-08T00:00:00.000000000],1.005,0.015,0.994,1.009,0.004,0.005,8.0,22.0,1.38
r_t[2020-11-09T00:00:00.000000000],0.999,0.007,0.991,1.007,0.003,0.001,7.0,22.0,1.66
r_t[2020-11-10T00:00:00.000000000],0.999,0.007,0.991,1.007,0.003,0.001,7.0,22.0,1.66
r_t[2020-11-11T00:00:00.000000000],0.999,0.007,0.991,1.007,0.003,0.001,7.0,22.0,1.66
r_t[2020-11-12T00:00:00.000000000],1.003,0.007,0.999,1.009,0.001,0.002,26.0,22.0,1.06
r_t[2020-11-13T00:00:00.000000000],1.003,0.007,0.999,1.009,0.001,0.002,26.0,22.0,1.06
r_t[2020-11-14T00:00:00.000000000],1.003,0.007,0.999,1.009,0.001,0.002,26.0,22.0,1.06
r_t[2020-11-15T00:00:00.000000000],0.997,0.007,0.983,1.002,0.002,0.002,12.0,22.0,1.48
r_t[2020-11-16T00:00:00.000000000],0.997,0.007,0.983,1.002,0.002,0.002,12.0,22.0,1.48
r_t[2020-11-17T00:00:00.000000000],0.997,0.007,0.983,1.002,0.002,0.002,12.0,22.0,1.48
r_t[2020-11-18T00:00:00.000000000],1.006,0.01,0.995,1.018,0.004,0.001,7.0,22.0,1.64
r_t[2020-11-19T00:00:00.000000000],1.006,0.01,0.995,1.018,0.004,0.001,7.0,22.0,1.64
r_t[2020-11-20T00:00:00.000000000],1.006,0.01,0.995,1.018,0.004,0.001,7.0,22.0,1.64
r_t[2020-11-21T00:00:00.000000000],1.0,0.007,0.996,1.001,0.001,0.003,26.0,22.0,0.95
r_t[2020-11-22T00:00:00.000000000],1.0,0.007,0.996,1.001,0.001,0.003,26.0,22.0,0.95
r_t[2020-11-23T00:00:00.000000000],1.0,0.007,0.996,1.001,0.001,0.003,26.0,22.0,0.95
r_t[2020-11-24T00:00:00.000000000],0.994,0.009,0.992,1.002,0.002,0.003,11.0,22.0,1.15
r_t[2020-11-25T00:00:00.000000000],0.994,0.009,0.992,1.002,0.002,0.003,11.0,22.0,1.15
r_t[2020-11-26T00:00:00.000000000],0.994,0.009,0.992,1.002,0.002,0.003,11.0,22.0,1.15
r_t[2020-11-27T00:00:00.000000000],0.996,0.011,0.994,1.003,0.002,0.004,19.0,22.0,1.07
r_t[2020-11-28T00:00:00.000000000],0.996,0.011,0.994,1.003,0.002,0.004,19.0,22.0,1.07
r_t[2020-11-29T00:00:00.000000000],0.996,0.011,0.994,1.003,0.002,0.004,19.0,22.0,1.07
r_t[2020-11-30T00:00:00.000000000],1.007,0.007,0.996,1.01,0.002,0.001,7.0,22.0,1.55
r_t[2020-12-01T00:00:00.000000000],1.007,0.007,0.996,1.01,0.002,0.001,7.0,22.0,1.55
r_t[2020-12-02T00:00:00.000000000],1.007,0.007,0.996,1.01,0.002,0.001,7.0,22.0,1.55
r_t[2020-12-03T00:00:00.000000000],0.993,0.012,0.991,1.004,0.003,0.003,8.0,22.0,1.5
r_t[2020-12-04T00:00:00.000000000],0.993,0.012,0.991,1.004,0.003,0.003,8.0,22.0,1.5
r_t[2020-12-05T00:00:00.000000000],0.993,0.012,0.991,1.004,0.003,0.003,8.0,22.0,1.5
r_t[2020-12-06T00:00:00.000000000],1.001,0.012,0.998,1.007,0.003,0.004,10.0,22.0,1.25
r_t[2020-12-07T00:00:00.000000000],1.001,0.012,0.998,1.007,0.003,0.004,10.0,22.0,1.25
r_t[2020-12-08T00:00:00.000000000],1.001,0.012,0.998,1.007,0.003,0.004,10.0,22.0,1.25
r_t[2020-12-09T00:00:00.000000000],0.997,0.009,0.987,1.002,0.002,0.002,16.0,22.0,1.1
r_t[2020-12-10T00:00:00.000000000],0.997,0.009,0.987,1.002,0.002,0.002,16.0,22.0,1.1
r_t[2020-12-11T00:00:00.000000000],0.997,0.009,0.987,1.002,0.002,0.002,16.0,22.0,1.1
r_t[2020-12-12T00:00:00.000000000],0.988,0.013,0.98,1.0,0.005,0.003,7.0,22.0,1.99
r_t[2020-12-13T00:00:00.000000000],0.988,0.013,0.98,1.0,0.005,0.003,7.0,22.0,1.99
r_t[2020-12-14T00:00:00.000000000],0.988,0.013,0.98,1.0,0.005,0.003,7.0,22.0,1.99
