,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-03-30T00:00:00.000000000],1.084,0.064,1.088,1.114,0.013,0.027,9.0,22.0,1.21
r_t[2020-03-31T00:00:00.000000000],1.084,0.064,1.088,1.114,0.013,0.027,9.0,22.0,1.21
r_t[2020-04-01T00:00:00.000000000],1.084,0.06,1.092,1.112,0.013,0.025,9.0,22.0,1.24
r_t[2020-04-02T00:00:00.000000000],1.084,0.06,1.092,1.112,0.013,0.025,9.0,22.0,1.24
r_t[2020-04-03T00:00:00.000000000],1.084,0.06,1.092,1.112,0.013,0.025,9.0,22.0,1.24
r_t[2020-04-04T00:00:00.000000000],1.081,0.059,1.081,1.115,0.014,0.024,8.0,22.0,1.3
r_t[2020-04-05T00:00:00.000000000],1.081,0.059,1.081,1.115,0.014,0.024,8.0,22.0,1.3
r_t[2020-04-06T00:00:00.000000000],1.081,0.059,1.081,1.115,0.014,0.024,8.0,22.0,1.3
r_t[2020-04-07T00:00:00.000000000],1.079,0.058,1.079,1.107,0.013,0.024,9.0,22.0,1.21
r_t[2020-04-08T00:00:00.000000000],1.079,0.058,1.079,1.107,0.013,0.024,9.0,22.0,1.21
r_t[2020-04-09T00:00:00.000000000],1.079,0.058,1.079,1.107,0.013,0.024,9.0,22.0,1.21
r_t[2020-04-10T00:00:00.000000000],1.079,0.057,1.078,1.105,0.014,0.023,6.0,22.0,1.72
r_t[2020-04-11T00:00:00.000000000],1.079,0.057,1.078,1.105,0.014,0.023,6.0,22.0,1.72
r_t[2020-04-12T00:00:00.000000000],1.079,0.057,1.078,1.105,0.014,0.023,6.0,22.0,1.72
r_t[2020-04-13T00:00:00.000000000],1.068,0.057,1.067,1.091,0.013,0.024,12.0,22.0,1.3
r_t[2020-04-14T00:00:00.000000000],1.068,0.057,1.067,1.091,0.013,0.024,12.0,22.0,1.3
r_t[2020-04-15T00:00:00.000000000],1.068,0.057,1.067,1.091,0.013,0.024,12.0,22.0,1.3
r_t[2020-04-16T00:00:00.000000000],1.075,0.057,1.081,1.096,0.012,0.024,10.0,22.0,1.21
r_t[2020-04-17T00:00:00.000000000],1.075,0.057,1.081,1.096,0.012,0.024,10.0,22.0,1.21
r_t[2020-04-18T00:00:00.000000000],1.075,0.057,1.081,1.096,0.012,0.024,10.0,22.0,1.21
r_t[2020-04-19T00:00:00.000000000],1.069,0.059,1.067,1.097,0.015,0.024,8.0,22.0,1.45
r_t[2020-04-20T00:00:00.000000000],1.069,0.059,1.067,1.097,0.015,0.024,8.0,22.0,1.45
r_t[2020-04-21T00:00:00.000000000],1.069,0.059,1.067,1.097,0.015,0.024,8.0,22.0,1.45
r_t[2020-04-22T00:00:00.000000000],1.072,0.047,1.068,1.098,0.014,0.019,6.0,22.0,1.99
r_t[2020-04-23T00:00:00.000000000],1.072,0.047,1.068,1.098,0.014,0.019,6.0,22.0,1.99
r_t[2020-04-24T00:00:00.000000000],1.072,0.047,1.068,1.098,0.014,0.019,6.0,22.0,1.99
r_t[2020-04-25T00:00:00.000000000],1.076,0.053,1.074,1.104,0.011,0.022,9.0,22.0,1.19
r_t[2020-04-26T00:00:00.000000000],1.076,0.053,1.074,1.104,0.011,0.022,9.0,22.0,1.19
r_t[2020-04-27T00:00:00.000000000],1.076,0.053,1.074,1.104,0.011,0.022,9.0,22.0,1.19
r_t[2020-04-28T00:00:00.000000000],1.077,0.049,1.076,1.108,0.012,0.02,7.0,22.0,1.65
