,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-10-01T00:00:00.000000000],1.044,0.023,1.035,1.046,0.006,0.009,7.0,22.0,1.68
r_t[2020-10-02T00:00:00.000000000],1.044,0.023,1.035,1.046,0.006,0.009,7.0,22.0,1.68
r_t[2020-10-03T00:00:00.000000000],1.044,0.023,1.035,1.046,0.006,0.009,7.0,22.0,1.68
r_t[2020-10-04T00:00:00.000000000],1.037,0.022,1.024,1.062,0.005,0.007,12.0,22.0,1.47
r_t[2020-10-05T00:00:00.000000000],1.037,0.022,1.024,1.062,0.005,0.007,12.0,22.0,1.47
r_t[2020-10-06T00:00:00.000000000],1.037,0.022,1.024,1.062,0.005,0.007,12.0,22.0,1.47
r_t[2020-10-07T00:00:00.000000000],1.027,0.01,1.018,1.037,0.003,0.002,9.0,22.0,1.46
r_t[2020-10-08T00:00:00.000000000],1.027,0.01,1.018,1.037,0.003,0.002,9.0,22.0,1.46
r_t[2020-10-09T00:00:00.000000000],1.027,0.01,1.018,1.037,0.003,0.002,9.0,22.0,1.46
r_t[2020-10-10T00:00:00.000000000],1.024,0.006,1.018,1.034,0.002,0.001,7.0,22.0,1.54
r_t[2020-10-11T00:00:00.000000000],1.024,0.006,1.018,1.034,0.002,0.001,7.0,22.0,1.54
r_t[2020-10-12T00:00:00.000000000],1.024,0.006,1.018,1.034,0.002,0.001,7.0,22.0,1.54
r_t[2020-10-13T00:00:00.000000000],1.017,0.012,1.0,1.029,0.005,0.003,6.0,22.0,1.99
r_t[2020-10-14T00:00:00.000000000],1.017,0.012,1.0,1.029,0.005,0.003,6.0,22.0,1.99
r_t[2020-10-15T00:00:00.000000000],1.017,0.012,1.0,1.029,0.005,0.003,6.0,22.0,1.99
r_t[2020-10-16T00:00:00.000000000],1.006,0.013,1.003,1.014,0.004,0.005,8.0,22.0,1.52
r_t[2020-10-17T00:00:00.000000000],1.006,0.013,1.003,1.014,0.004,0.005,8.0,22.0,1.52
r_t[2020-10-18T00:00:00.000000000],1.006,0.013,1.003,1.014,0.004,0.005,8.0,22.0,1.52
r_t[2020-10-19T00:00:00.000000000],1.004,0.013,0.988,1.014,0.003,0.003,10.0,22.0,1.39
r_t[2020-10-20T00:00:00.000000000],1.004,0.013,0.988,1.014,0.003,0.003,10.0,22.0,1.39
r_t[2020-10-21T00:00:00.000000000],1.004,0.013,0.988,1.014,0.003,0.003,10.0,22.0,1.39
r_t[2020-10-22T00:00:00.000000000],1.0,0.015,0.986,1.019,0.007,0.003,6.0,22.0,2.9
r_t[2020-10-23T00:00:00.000000000],1.0,0.015,0.986,1.019,0.007,0.003,6.0,22.0,2.9
r_t[2020-10-24T00:00:00.000000000],1.0,0.015,0.986,1.019,0.007,0.003,6.0,22.0,2.9
r_t[2020-10-25T00:00:00.000000000],1.006,0.007,0.999,1.015,0.003,0.001,6.0,22.0,2.19
r_t[2020-10-26T00:00:00.000000000],1.006,0.007,0.999,1.015,0.003,0.001,6.0,22.0,2.19
r_t[2020-10-27T00:00:00.000000000],1.006,0.007,0.999,1.015,0.003,0.001,6.0,22.0,2.19
r_t[2020-10-28T00:00:00.000000000],0.997,0.005,0.991,1.001,0.001,0.001,10.0,22.0,1.34
r_t[2020-10-29T00:00:00.000000000],0.997,0.005,0.991,1.001,0.001,0.001,10.0,22.0,1.34
r_t[2020-10-30T00:00:00.000000000],0.997,0.005,0.991,1.001,0.001,0.001,10.0,22.0,1.34
r_t[2020-10-31T00:00:00.000000000],1.003,0.011,0.994,1.005,0.003,0.004,7.0,22.0,1.79
r_t[2020-11-01T00:00:00.000000000],1.003,0.011,0.994,1.005,0.003,0.004,7.0,22.0,1.79
r_t[2020-11-02T00:00:00.000000000],1.003,0.011,0.994,1.005,0.003,0.004,7.0,22.0,1.79
r_t[2020-11-03T00:00:00.000000000],1.004,0.013,0.997,1.006,0.003,0.005,21.0,22.0,1.1
r_t[2020-11-04T00:00:00.000000000],1.004,0.013,0.997,1.006,0.003,0.005,21.0,22.0,1.1
r_t[2020-11-05T00:00:00.000000000],1.004,0.013,0.997,1.006,0.003,0.005,21.0,22.0,1.1
r_t[2020-11-06T00:00:00.000000000],0.994,0.009,0.985,1.003,0.002,0.003,18.0,22.0,1.75
r_t[2020-11-07T00:00:00.000000000],0.994,0.009,0.985,1.003,0.002,0.003,18.0,22.0,1.75
r_t[2020-11-08T00:00:00.000000000],0.994,0.009,0.985,1.003,0.002,0.003,18.0,22.0,1.75
r_t[2020-11-09T00:00:00.000000000],1.008,0.009,1.0,1.019,0.003,0.002,11.0,22.0,1.49
r_t[2020-11-10T00:00:00.000000000],1.008,0.009,1.0,1.019,0.003,0.002,11.0,22.0,1.49
r_t[2020-11-11T00:00:00.000000000],1.008,0.009,1.0,1.019,0.003,0.002,11.0,22.0,1.49
r_t[2020-11-12T00:00:00.000000000],1.001,0.004,0.996,1.007,0.001,0.001,9.0,22.0,1.42
r_t[2020-11-13T00:00:00.000000000],1.001,0.004,0.996,1.007,0.001,0.001,9.0,22.0,1.42
r_t[2020-11-14T00:00:00.000000000],1.001,0.004,0.996,1.007,0.001,0.001,9.0,22.0,1.42
r_t[2020-11-15T00:00:00.000000000],1.007,0.007,0.999,1.018,0.003,0.002,7.0,22.0,1.61
r_t[2020-11-16T00:00:00.000000000],1.007,0.007,0.999,1.018,0.003,0.002,7.0,22.0,1.61
r_t[2020-11-17T00:00:00.000000000],1.007,0.007,0.999,1.018,0.003,0.002,7.0,22.0,1.61
r_t[2020-11-18T00:00:00.000000000],0.996,0.007,0.988,0.999,0.002,0.002,7.0,22.0,1.74
r_t[2020-11-19T00:00:00.000000000],0.996,0.007,0.988,0.999,0.002,0.002,7.0,22.0,1.74
r_t[2020-11-20T00:00:00.000000000],0.996,0.007,0.988,0.999,0.002,0.002,7.0,22.0,1.74
r_t[2020-11-21T00:00:00.000000000],1.001,0.006,0.997,1.005,0.001,0.002,13.0,22.0,1.29
r_t[2020-11-22T00:00:00.000000000],1.001,0.006,0.997,1.005,0.001,0.002,13.0,22.0,1.29
r_t[2020-11-23T00:00:00.000000000],1.001,0.006,0.997,1.005,0.001,0.002,13.0,22.0,1.29
r_t[2020-11-24T00:00:00.000000000],0.997,0.011,0.988,1.008,0.004,0.003,7.0,26.0,1.64
r_t[2020-11-25T00:00:00.000000000],0.997,0.011,0.988,1.008,0.004,0.003,7.0,26.0,1.64
r_t[2020-11-26T00:00:00.000000000],0.997,0.011,0.988,1.008,0.004,0.003,7.0,26.0,1.64
r_t[2020-11-27T00:00:00.000000000],0.995,0.014,0.99,1.002,0.003,0.005,9.0,22.0,1.4
r_t[2020-11-28T00:00:00.000000000],0.995,0.014,0.99,1.002,0.003,0.005,9.0,22.0,1.4
r_t[2020-11-29T00:00:00.000000000],0.995,0.014,0.99,1.002,0.003,0.005,9.0,22.0,1.4
r_t[2020-11-30T00:00:00.000000000],1.001,0.031,1.001,1.013,0.006,0.013,16.0,22.0,1.52
r_t[2020-12-01T00:00:00.000000000],1.001,0.031,1.001,1.013,0.006,0.013,16.0,22.0,1.52
r_t[2020-12-02T00:00:00.000000000],1.001,0.031,1.001,1.013,0.006,0.013,16.0,22.0,1.52
r_t[2020-12-03T00:00:00.000000000],0.995,0.018,0.992,1.005,0.004,0.007,18.0,22.0,1.53
r_t[2020-12-04T00:00:00.000000000],0.995,0.018,0.992,1.005,0.004,0.007,18.0,22.0,1.53
r_t[2020-12-05T00:00:00.000000000],0.995,0.018,0.992,1.005,0.004,0.007,18.0,22.0,1.53
r_t[2020-12-06T00:00:00.000000000],0.996,0.014,0.996,1.004,0.004,0.005,8.0,22.0,1.44
r_t[2020-12-07T00:00:00.000000000],0.996,0.014,0.996,1.004,0.004,0.005,8.0,22.0,1.44
r_t[2020-12-08T00:00:00.000000000],0.996,0.014,0.996,1.004,0.004,0.005,8.0,22.0,1.44
r_t[2020-12-09T00:00:00.000000000],1.009,0.016,1.005,1.024,0.003,0.006,11.0,22.0,1.38
r_t[2020-12-10T00:00:00.000000000],1.009,0.016,1.005,1.024,0.003,0.006,11.0,22.0,1.38
r_t[2020-12-11T00:00:00.000000000],1.009,0.016,1.005,1.024,0.003,0.006,11.0,22.0,1.38
r_t[2020-12-12T00:00:00.000000000],1.006,0.019,0.995,1.022,0.004,0.007,16.0,22.0,2.1
r_t[2020-12-13T00:00:00.000000000],1.006,0.019,0.995,1.022,0.004,0.007,16.0,22.0,2.1
r_t[2020-12-14T00:00:00.000000000],1.006,0.019,0.995,1.022,0.004,0.007,16.0,22.0,2.1
