date,predicted_cases
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,1.4874556631596474
2020-02-11,21.08907267078124
2020-02-12,40.0350606310851
2020-02-13,43.32209289767464
2020-02-14,44.22606813382943
2020-02-15,47.98561408829443
2020-02-16,53.1059741979919
2020-02-17,58.77561232251678
2020-02-18,65.22876190999364
2020-02-19,72.69244742400848
2020-02-20,81.54010550939945
2020-02-21,92.02671673955766
2020-02-22,104.18814259189328
2020-02-23,116.73400960036686
2020-02-24,129.81678364516407
2020-02-25,144.66747963611132
2020-02-26,159.64234967742217
2020-02-27,174.60355498300524
2020-02-28,190.9815985052374
2020-02-29,206.27570823471882
2020-03-01,220.20170088941504
2020-03-02,234.8169764379119
2020-03-03,247.9019429441771
2020-03-04,259.1445043629893
2020-03-05,270.54772870825906
2020-03-06,280.5047800559606
2020-03-07,288.78182791867135
2020-03-08,296.9721129469717
2020-03-09,303.8675807351789
2020-03-10,309.3258223742474
2020-03-11,314.5893389570476
2020-03-12,318.4656929142907
2020-03-13,320.88152121230917
2020-03-14,323.1306750089318
2020-03-15,325.0303968763147
2020-03-16,326.4960555035643
2020-03-17,327.9263531936272
2020-03-18,329.0017894485353
2020-03-19,329.7116251306563
2020-03-20,330.49326117727907
2020-03-21,331.9573257936569
2020-03-22,334.0432250959856
2020-03-23,336.1253367337498
2020-03-24,336.4090680355065
2020-03-25,335.0079887323071
2020-03-26,333.49811287594196
2020-03-27,332.3028278514272
2020-03-28,331.30940604028274
2020-03-29,330.3509430963764
2020-03-30,328.29347049208025
2020-03-31,325.21667455641955
2020-04-01,322.1808586381004
2020-04-02,319.2468452804531
2020-04-03,316.36252428725174
2020-04-04,313.71062047753435
2020-04-05,311.4027406737183
2020-04-06,309.4241500162789
2020-04-07,307.7270116012554
2020-04-08,306.46438032393735
2020-04-09,305.61711214783753
2020-04-10,305.0049816474051
2020-04-11,304.5257712369485
2020-04-12,304.1848965986846
2020-04-13,304.0299505994736
2020-04-14,304.07946666072843
2020-04-15,304.3235482213757
2020-04-16,304.74359618371244
2020-04-17,305.3097533702292
2020-04-18,306.0189776780695
